City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
133,Castro,BR,2021-08-08 18:15:43,-24.7911,-50.0119,65.62,62,45,4.07,scattered clouds
134,Mattawa,US,2021-08-08 18:15:44,46.7379,-119.9028,75.67,31,5,16.84,clear sky
135,Knysna,ZA,2021-08-08 18:15:44,-34.0363,23.0471,55.78,83,75,2.48,broken clouds
136,Lata,PT,2021-08-08 18:15:44,40.1629,-8.3327,80.04,47,0,10.6,clear sky
137,Melendugno,IT,2021-08-08 18:15:44,40.2747,18.3368,87.57,48,0,11.5,clear sky
138,Narsaq,GL,2021-08-08 18:15:45,60.9167,-46.05,53.82,62,14,12.44,few clouds
139,Sant,RO,2021-08-08 18:15:45,47.45,24.9,66.79,74,2,2.21,clear sky
140,Lucea,JM,2021-08-08 18:15:45,18.451,-78.1736,89.46,68,10,15.43,clear sky
141,Forestville,US,2021-08-08 18:15:46,38.8451,-76.875,91.54,52,20,8.05,few clouds
142,Monte Carmelo,BR,2021-08-08 18:15:46,-18.7247,-47.4986,77.02,30,0,7.65,clear sky
143,Lompoc,US,2021-08-08 18:15:46,34.6391,-120.4579,83.21,82,1,6.91,clear sky
144,Yenagoa,NG,2021-08-08 18:15:47,4.9247,6.2642,73.89,91,98,8.21,light rain
145,Manokwari,ID,2021-08-08 18:15:47,-0.8667,134.0833,77.52,78,83,2.8,broken clouds
146,La Romana,DO,2021-08-08 18:15:47,18.4273,-68.9728,89.96,62,40,11.5,scattered clouds
147,Bluff,NZ,2021-08-08 18:15:47,-46.6,168.3333,34.81,61,54,15.37,broken clouds
148,Raudeberg,NO,2021-08-08 18:15:48,61.9875,5.1352,67.78,63,87,3.91,overcast clouds
149,Houma,US,2021-08-08 18:15:48,29.5958,-90.7195,93.2,73,75,9.22,light rain
150,Avera,US,2021-08-08 18:15:48,33.194,-82.5271,91.71,43,13,0.89,few clouds
151,Hervey Bay,AU,2021-08-08 18:15:48,-25.2986,152.8535,56.03,80,18,7.52,few clouds
152,Tasiilaq,GL,2021-08-08 18:15:49,65.6145,-37.6368,44.76,96,100,18.48,moderate rain
153,San Patricio,US,2021-08-08 18:15:49,28.017,-97.5169,93.92,51,10,19.73,clear sky
154,Evensk,RU,2021-08-08 18:15:49,61.95,159.2333,51.67,68,34,10.31,scattered clouds
155,Kuah,MY,2021-08-08 18:15:50,6.3265,99.8432,82.38,89,20,0.0,few clouds
